sl no,brand,country,state,city,top speed kmh,battery capacity kWh,battery type,efficiency wh per km,range km,fast charging power kw dc,fast charge port,seats,drivetrain,electric vehicle type,safety rating,cost
1,Ford,Germany,Berlin,Berlin,182,67.9,NiMH,139.2,758,94,Type 2,2,FWD,BEV,3.5,73478
2,Kia,Canada,Ontario,Toronto,227,67.5,NiMH,155,206,131,Type 2,5,RWD,PHEV,2.3,119797
3,Nissan,Germany,Bavaria,Munich,274,75,Li-ion,195.7,749,113,Type 2,2,AWD,PHEV,3.7,162349
4,Tata,Germany,Berlin,Berlin,194,197.5,Li-ion,208,589,192,Type 2,5,FWD,BEV,4,161988
5,Hyundai,Germany,Hesse,Frankfurt,256,154,Li-ion,171.6,476,335,CHAdeMO,5,FWD,PHEV,3.2,78675
6,Tata,India,Karnataka,Bangalore,287,114.9,NiMH,171.3,471,121,CHAdeMO,7,AWD,PHEV,4.7,122350
7,Hyundai,France,Île-de-France,Paris,250,113.9,Li-ion,207.5,356,131,Type 2,7,FWD,HEV,5,139352
8,Tesla,UK,England,Birmingham,294,152.5,NiMH,209.6,473,224,CCS,5,RWD,BEV,4.9,184799
9,Hyundai,UK,England,Birmingham,249,185.1,NiMH,156.9,719,151,CHAdeMO,5,FWD,BEV,3.8,134042
10,Nissan,USA,NY,New York,198,70.7,Li-ion,209,280,93,Type 2,2,AWD,HEV,3.4,142063
11,Kia,China,Shanghai,Shanghai,275,101.9,Li-ion,213.6,405,209,Type 2,5,RWD,BEV,2.7,78392
12,Lucid,France,Île-de-France,Paris,261,69.1,Li-ion,130.6,260,167,CCS,2,RWD,BEV,2.8,133624
13,Lucid,India,Maharashtra,Mumbai,267,110.4,Solid-State,202.7,394,98,CCS,6,RWD,PHEV,4.6,77100
14,BYD,Germany,Berlin,Berlin,206,166.1,Li-ion,152.4,394,324,Type 2,4,RWD,PHEV,2.7,191014
15,Kia,Germany,Bavaria,Munich,145,38.6,NiMH,205.2,295,171,CHAdeMO,6,RWD,PHEV,4.7,91579
16,BYD,Japan,Tokyo,Tokyo,187,187.5,Solid-State,155.7,769,299,CHAdeMO,4,RWD,HEV,4.2,77989
17,Tesla,France,Île-de-France,Paris,269,111.1,NiMH,144.2,720,91,CHAdeMO,2,AWD,PHEV,2.4,186691
18,Lucid,Australia,New South Wales,Sydney,272,36.8,Li-ion,167.7,797,339,Tesla Supercharger,5,FWD,PHEV,3.2,158039
19,Nissan,UK,England,Manchester,138,31.6,NiMH,219.9,302,87,CHAdeMO,7,RWD,BEV,4.6,118434
20,Volkswagen,UK,England,London,259,149.6,NiMH,218.5,741,54,Tesla Supercharger,2,FWD,BEV,4.2,90374
21,Lucid,UK,England,Manchester,173,152,Li-ion,191.9,470,308,Type 2,5,FWD,PHEV,2.1,113719
22,Ford,China,Guangdong,Shenzhen,161,156,NiMH,193.5,774,54,CCS,2,AWD,BEV,4.5,146350
23,BYD,Canada,Ontario,Toronto,152,37.1,Solid-State,210.9,240,233,CHAdeMO,4,AWD,HEV,4.7,123264
